,episode,url,start_timestamp,start,end,question,context
0,Episode 1,https://www.youtube.com/watch?v=0z49u_b6PmE,3:07,187,415,What's the best way to reallocate a portfolio from fixed income to stocks?,
1,Episode 1,https://www.youtube.com/watch?v=0z49u_b6PmE,6:55,415,669,What do I do once I cross the Roth IRA income limit?,
2,Episode 1,https://www.youtube.com/watch?v=0z49u_b6PmE,11:09,669,0," Once I have maxed out my retiremenet accounts (IRA, 401K), is real estate the next best option?",
3,Episode 2,https://www.youtube.com/watch?v=IDGnZ2AErBg,1:04,64,366,Saving vs. Investing,
4,Episode 2,https://www.youtube.com/watch?v=IDGnZ2AErBg,6:06,366,566," If Baby Boomers are shifting from net investors to net withdrawers, how should I adjust my investment strategy?",
5,Episode 2,https://www.youtube.com/watch?v=IDGnZ2AErBg,9:26,566,824,What is your opinion on interest only mortgages?,
6,Episode 2,https://www.youtube.com/watch?v=IDGnZ2AErBg,13:44,824,0,Advice on contributions to ESOP Employee Stock Option Plan,
7,Episode 3,https://www.youtube.com/watch?v=rBm9y4NuxlY,1:30,90,404,Is a 90/10 portfolio too risky in retirement?,
8,Episode 3,https://www.youtube.com/watch?v=rBm9y4NuxlY,6:44,404,675,Considerations when buying a new construction vs. an older home in an established neighborhood.,
9,Episode 3,https://www.youtube.com/watch?v=rBm9y4NuxlY,11:15,675,935,Should I consider adding municipal bonds to my portfolio?,
10,Episode 3,https://www.youtube.com/watch?v=rBm9y4NuxlY,15:35,935,0,A large portion of my portfolio is in 2 stocks. At what point should I diversify and reallocate my retirement accounts?,
11,Episode 4,https://www.youtube.com/watch?v=oazzjOjJXKQ,1:16,76,285,I have a lot of equity in my house. When does it make sense to sell your house and just start renting?,
12,Episode 4,https://www.youtube.com/watch?v=oazzjOjJXKQ,4:45,285,450,Buying stocks for a kid at birth?,
13,Episode 4,https://www.youtube.com/watch?v=oazzjOjJXKQ,7:30,450,876,I'm saving a large percentage of my income so that I can retire early. How do I avoid regret not buying nice things?,
14,Episode 4,https://www.youtube.com/watch?v=oazzjOjJXKQ,14:36,876,0,Can I stop saving for retirement? Have I already saved enough?,
15,Episode 5,https://www.youtube.com/watch?v=Gy0A-e1xNco,1:12,72,352,How do we diversify our portfolio to provide more dividend income in a tax efficient way?,
16,Episode 5,https://www.youtube.com/watch?v=Gy0A-e1xNco,5:52,352,633,Giving up a stable job with favorable work life balance for better long term earnings potential.,
17,Episode 5,https://www.youtube.com/watch?v=Gy0A-e1xNco,10:33,633,945,I have saved up with the intention of taking time off to fund my own film projects. How do I invest cash while unemployed?,
18,Episode 5,https://www.youtube.com/watch?v=Gy0A-e1xNco,15:45,945,0," How do I teach my kids the basics of financial literacy? How do I teach kids about money? For example, compound interest, stocks, bonds, target date funds, etc.",
19,Episode 6,https://www.youtube.com/watch?v=K8EM5RFMHjI,1:25,85,304,Should I buy a house outright or rent and invest the cash in the market?,
20,Episode 6,https://www.youtube.com/watch?v=K8EM5RFMHjI,5:04,304,686,How do you decide on how much inheritance to leave your kids?,
21,Episode 6,https://www.youtube.com/watch?v=K8EM5RFMHjI,11:26,686,972,How many stocks should I own to be diversified? Is 70 too many?,
22,Episode 6,https://www.youtube.com/watch?v=K8EM5RFMHjI,16:12,972,0," How can I tell if a stock has hit a long term peak? What are some signs an investor can look for that a stock has gotten as high as it's ever going to get? For example, GE hit its all time peak back in the year 2000.",
23,Episode 7,https://www.youtube.com/watch?v=IJVGn_wFc24,0:58,58,312,How should I invest a lifetime pension?,
24,Episode 7,https://www.youtube.com/watch?v=IJVGn_wFc24,5:12,312,550,What are your thoughts on using an SBLOC (Security Based Line of Credit) against a brokerage account to borrow for a primary residence of a rental property?,
25,Episode 7,https://www.youtube.com/watch?v=IJVGn_wFc24,9:10,550,980,Do government yields still give any real signal in terms of future growth and inflation? Why are bond yields so flow?,
26,Episode 7,https://www.youtube.com/watch?v=IJVGn_wFc24,16:20,980,0,Inflation is running high and treasury yields have been falling. What will happen when the market goes down?,
27,Episode 8,https://www.youtube.com/watch?v=a7p1SmPuoBg,1:26,86,277,How should young people like me balance saving money to invest while traveling and enjoying life in our 20s?,
28,Episode 8,https://www.youtube.com/watch?v=a7p1SmPuoBg,4:37,277,480,How should I invest my parents' cash?,
29,Episode 8,https://www.youtube.com/watch?v=a7p1SmPuoBg,8:00,480,771,Does tax loss harvesting make sense if my tax bracket will be higher in the future?,
30,Episode 8,https://www.youtube.com/watch?v=a7p1SmPuoBg,12:51,771,0,Should I buy a house and sell it every 5 years to get a tax free gain of 500K?,
31,Episode 9,https://www.youtube.com/watch?v=CH7gcUs5ef0,0:45,45,497,Could cryptocurrency supply hurt performance of the S&P 500?,
32,Episode 9,https://www.youtube.com/watch?v=CH7gcUs5ef0,8:17,497,767,Should I sell my Magic the Gathering collection and invest the cash?,
33,Episode 9,https://www.youtube.com/watch?v=CH7gcUs5ef0,12:47,767,1115,How do I build a client base as a new Financial Advisor?,
34,Episode 9,https://www.youtube.com/watch?v=CH7gcUs5ef0,18:35,1115,0,Should I annuitize my account?,
35,Episode 10,https://www.youtube.com/watch?v=n0Z6xtJri6E,1:41,101,452,Buffett Indicator.,
36,Episode 10,https://www.youtube.com/watch?v=n0Z6xtJri6E,7:32,452,777,Leasing a car.,
37,Episode 10,https://www.youtube.com/watch?v=n0Z6xtJri6E,12:57,777,1084,When to hire a financial advisor or accountant.,
38,Episode 10,https://www.youtube.com/watch?v=n0Z6xtJri6E,18:04,1084,0,Taking out a 401k loan.,
39,Episode 11,https://www.youtube.com/watch?v=7jMZp_1buZ8,0:53,53,510,When to sell a stock that's down.,
40,Episode 11,https://www.youtube.com/watch?v=7jMZp_1buZ8,8:30,510,680,Reducing tax deferred contributions to bolster taxable savings/investments.,
41,Episode 11,https://www.youtube.com/watch?v=7jMZp_1buZ8,11:20,680,975,Lump sum vs dollar cost averaging.,
42,Episode 11,https://www.youtube.com/watch?v=7jMZp_1buZ8,16:15,975,0,Leveraged ETFs.,
43,Episode 12,https://www.youtube.com/watch?v=RulsvNmtmkQ,1:28,88,419,Diversification.,
44,Episode 12,https://www.youtube.com/watch?v=RulsvNmtmkQ,6:59,419,731,Market crashes.,
45,Episode 12,https://www.youtube.com/watch?v=RulsvNmtmkQ,12:11,731,1260,Saving for college.,
46,Episode 12,https://www.youtube.com/watch?v=RulsvNmtmkQ,21:00,1260,0,What is the best tax advantaged account?,
47,Episode 13,https://www.youtube.com/watch?v=peBWhDKx9ew,0:56,56,382," Data and opinions on markets hitting a bottom, catching a falling knife.",
48,Episode 13,https://www.youtube.com/watch?v=peBWhDKx9ew,6:22,382,570,Saving vs. living life to the fullest.,
49,Episode 13,https://www.youtube.com/watch?v=peBWhDKx9ew,9:30,570,845,How to balance retirement and non retirement accounts.,
50,Episode 13,https://www.youtube.com/watch?v=peBWhDKx9ew,14:05,845,0,Volatility in the stock market.,
51,Episode 14,https://www.youtube.com/watch?v=ZDdqgarzEDw,1:38,98,410,Should I let my winners ride?,
52,Episode 14,https://www.youtube.com/watch?v=ZDdqgarzEDw,6:50,410,662,Is buying a rental property with my 401k a bad idea?,
53,Episode 14,https://www.youtube.com/watch?v=ZDdqgarzEDw,11:02,662,975,Am I taking too much risk?,
